place,movie_title,rating,year,star_cast
1, The Shawshank Redemption,9.235223988600902,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2, The Godfather,9.156066732236368,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3, The Dark Knight,8.989213185247339,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4, The Godfather Part II,8.984068218779065,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5, 12 Angry Men,8.950750237027483,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6, Schindler's List,8.93796500999879,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7, The Lord of the Rings: The Return of the King,8.928578310089955,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8, Pulp Fiction,8.848435182651643,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9, The Lord of the Rings: The Fellowship of the Ring,8.808649884393278,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1,". Il buono, il brutto, il cattivo",8.791069850782764,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11, Forrest Gump,8.767636425390238,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12, Fight Club,8.74876275967107,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13, The Lord of the Rings: The Two Towers,8.733821407176428,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14, Inception,8.733217310723937,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15, The Empire Strikes Back,8.700073475912507,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16, The Matrix,8.669903917957424,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17, Goodfellas,8.65235717087267,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18, One Flew Over the Cuckoo's Nest,8.639529278283309,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19, Se7en,8.604294462732199,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20, Shichinin no samurai,8.599281942813793,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21, It's a Wonderful Life,8.595854967152285,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22, The Silence of the Lambs,8.58822714593861,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23, Cidade de Deus,8.579675662441524,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24, Saving Private Ryan,8.578960480488703,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25, La vita è bella,8.56804421636233,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26, Interstellar,8.563847373362435,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
27, The Green Mile,8.562111847811826,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28, Star Wars,8.550664207345157,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29, Terminator 2: Judgment Day,8.536207779201284,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30, Back to the Future,8.51791344267724,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31, Sen to Chihiro no kamikakushi,8.516258055106402,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32, Psycho,8.507504612860155,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33, The Pianist,8.506367341224193,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34, Gisaengchung,8.497901454574492,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35, Léon,8.496499640133079,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36, The Lion King,8.488406617897883,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37, Gladiator,8.486341176301382,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38, American History X,8.482939616619333,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39, The Departed,8.475661457437674,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40, The Usual Suspects,8.47245335340922,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
41, The Prestige,8.468792183813386,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42, Whiplash,8.464784391917044,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
43, Casablanca,8.463293643012348,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44, Seppuku,8.455072400192849,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
45, The Intouchables,8.454313620110284,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
46, Hotaru no haka,8.453684789191888,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
47, Modern Times,8.448723268341354,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48, Once Upon a Time in the West,8.444718466743572,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49, Rear Window,8.436094050485615,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
50, Alien,8.434074047287634,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
51, City Lights,8.43371125905228,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
52, Nuovo Cinema Paradiso,8.433607295654706,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
53, Apocalypse Now,8.424114697335272,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54, Memento,8.422584997557642,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55, Raiders of the Lost Ark,8.408729659283942,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
56, Django Unchained,8.406445361980973,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
57, WALL·E,8.394258136960126,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58, The Lives of Others,8.385254894458134,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59, Sunset Blvd.,8.380072503618516,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60, Paths of Glory,8.371886614163177,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61, The Shining,8.365809207255824,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62, The Great Dictator,8.365783910423524,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63, Avengers: Infinity War,8.360619166554935,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64, Witness for the Prosecution,8.359800749687686,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65, Aliens,8.343171379885323,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66, Spider-Man: Into the Spider-Verse,8.334152841497563,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
67, American Beauty,8.333657422108095,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.33006434064222,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69, The Dark Knight Rises,8.327294764644716,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70, Oldeuboi,8.32048364804437,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
71, Amadeus,8.316057305738621,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
72, Joker,8.315989402083623,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
73, Inglourious Basterds,8.315162260643653,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
74, Coco,8.314629276403364,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
75, Toy Story,8.314264955168037,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76, Braveheart,8.313856563044167,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
77, Das Boot,8.31230756308461,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78, Avengers: Endgame,8.304298420473726,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
79, Mononoke-hime,8.303381840262936,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80, Once Upon a Time in America,8.296607057181157,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
81, Good Will Hunting,8.28925398168248,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
82, Top Gun: Maverick,8.288499965956376,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
83, Kimi no Na wa.,8.279980168657465,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
84, Requiem for a Dream,8.275566793006757,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
85, Singin' in the Rain,8.273708089107389,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
86, Toy Story 3,8.27354486192987,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
87, 3 Idiots,8.273466850580123,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88, Tengoku to jigoku,8.270370322153413,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
89, Star Wars: Episode VI - Return of the Jedi,8.265632966108978,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90, Capharnaüm,8.263030929133645,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
91, Eternal Sunshine of the Spotless Mind,8.262810840439181,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92, 2001: A Space Odyssey,8.2627682523565,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
93, Reservoir Dogs,8.261616957052466,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
94, Jagten,8.256039103655594,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95, Idi i smotri,8.253380793268938,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
96, Citizen Kane,8.253268142254164,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
97, M - Eine Stadt sucht einen Mörder,8.252200762196319,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98, Lawrence of Arabia,8.251997607942391,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
99, North by Northwest,8.248059611722312,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
10,. Vertigo,8.24455913833631,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101, Le fabuleux destin d'Amélie Poulain,8.243878829332388,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
102, A Clockwork Orange,8.241456793653407,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
103, The Apartment,8.239738500741687,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
104, Ikiru,8.238865107346342,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
105, Double Indemnity,8.238465006830126,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
106, Full Metal Jacket,8.238119643852482,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
107, Scarface,8.235044630669256,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
108, Hamilton,8.234746467082678,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
109, The Sting,8.227367109774285,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
110, To Kill a Mockingbird,8.22689475328415,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
111, Incendies,8.224788424680694,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
112, Up,8.224576822175784,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
113, Heat,8.224429755964193,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
114, Taxi Driver,8.223031324033542,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
115, Jodaeiye Nader az Simin,8.222132518979567,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
116, Metropolis,8.221390040295482,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
117, L.A. Confidential,8.220899475017696,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
118, Snatch,8.218320602431552,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
119, Die Hard,8.218035979620977,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
120, Ladri di biciclette,8.217277236242897,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121, Indiana Jones and the Last Crusade,8.217000793105031,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
122, 1917,8.21148021579144,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
123, Taare Zameen Par,8.211180145306558,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
124, Der Untergang,8.203752570503548,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125, Per qualche dollaro in più,8.201061652908104,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
126, Batman Begins,8.199270317542103,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
127, Dangal,8.199122990943268,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
128, The Kid,8.192723224019648,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129, Some Like It Hot,8.191289833975963,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130, The Father,8.180912079600825,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131, All About Eve,8.180652832628557,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132, Green Book,8.176470348498967,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
133, The Wolf of Wall Street,8.17519408410924,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
134, Judgment at Nuremberg,8.170125027014357,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135, Ran,8.164481192932518,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
136, Casino,8.164014418056459,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
137, Pan's Labyrinth,8.161945410896958,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
138, Unforgiven,8.160692906661938,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
139, There Will Be Blood,8.157875086552611,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
140, The Truman Show,8.156918188349051,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
141, The Sixth Sense,8.153709845215204,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
142, A Beautiful Mind,8.151736014477446,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
143, Spider-Man: No Way Home,8.150699661054437,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
144, Yôjinbô,8.149269797212419,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
145, Shutter Island,8.149066068337945,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
146, Monty Python and the Holy Grail,8.148956780637356,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
147, The Treasure of the Sierra Madre,8.147698012261202,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
148, Jurassic Park,8.146389133072342,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
149, The Great Escape,8.14132897384619,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150, Rashômon,8.141165021044355,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
151, Kill Bill: Vol. 1,8.137945848140447,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
152, No Country for Old Men,8.137708194375211,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
153, Finding Nemo,8.131610747306269,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
154, The Thing,8.130790019900791,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
155, The Elephant Man,8.128554094460274,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
156, Chinatown,8.127441109822367,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
157, Raging Bull,8.125820257848217,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
158, V for Vendetta,8.124164940800576,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
159, Gone with the Wind,8.12397558338905,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
160, Inside Out,8.122191488100542,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
161," Lock, Stock and Two Smoking Barrels",8.12154081331371,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
162, Dial M for Murder,8.1194909877015,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
163, El secreto de sus ojos,8.117644659356971,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
164, Hauru no ugoku shiro,8.11618441802089,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
165, The Bridge on the River Kwai,8.11235445228495,1957,"David Lean (dir.), William Holden, Alec Guinness"
166," Three Billboards Outside Ebbing, Missouri",8.111479657539833,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167, Trainspotting,8.11109527910301,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
168, Warrior,8.103395252430753,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
169, Fargo,8.102389802079509,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
170, Gran Torino,8.102350359699386,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
171, Prisoners,8.101048362784407,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
172, Tonari no Totoro,8.093870397317342,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
173, Million Dollar Baby,8.08922081085479,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
174, Catch Me If You Can,8.088993628939038,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
175, Bacheha-Ye aseman,8.085704594509853,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
176, The Gold Rush,8.085101790439174,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
177, Blade Runner,8.08490878342089,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
178, On the Waterfront,8.081637766472493,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
179, Before Sunrise,8.080512901457485,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
180, 12 Years a Slave,8.080058884498511,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
181, Harry Potter and the Deathly Hallows - Part 2,8.078633939877925,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
182, Ben-Hur,8.077913374214,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
183, Smultronstället,8.077287555967802,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
184, The Third Man,8.07704613475947,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
185, Gone Girl,8.076979609446212,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
186, The General,8.076206137884613,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
187, The Grand Budapest Hotel,8.0750128535747,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
188, The Deer Hunter,8.074231360501186,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
189, In the Name of the Father,8.074096342936848,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
190, Barry Lyndon,8.072295178998164,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
191, Le salaire de la peur,8.071434629046411,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
192, Klaus,8.069939637248941,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
193, Hacksaw Ridge,8.069356222316664,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
194, Mr. Smith Goes to Washington,8.068573963704202,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
195, Sherlock Jr.,8.06802731710584,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
196, Salinui chueok,8.067474304878534,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
197, Relatos salvajes,8.066917279124475,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
198, Det sjunde inseglet,8.064078209189045,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
199, Room,8.063414134519235,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
200, Mad Max: Fury Road,8.063176681680636,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
201, Mary and Max.,8.06193008191147,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
202, How to Train Your Dragon,8.061619592029686,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
203, The Big Lebowski,8.06030865826805,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
204," Monsters, Inc.",8.05989927758962,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
205, Jaws,8.059620738518495,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
206, Dead Poets Society,8.056148651091524,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
207, La passion de Jeanne d'Arc,8.055116174054406,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
208, Tôkyô monogatari,8.053146369955549,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
209, Hotel Rwanda,8.05118046786869,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
210, Ford v Ferrari,8.047565424671616,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
211, Rocky,8.046516647102667,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
212, Platoon,8.045776222122006,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
213, Stand by Me,8.04017668476957,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
214, The Terminator,8.04014953522984,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
215, Spotlight,8.039985483324905,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
216, Logan,8.038580660014366,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
217, Ratatouille,8.038223918060595,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
218, Pather Panchali,8.03770165596652,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
219, Rush,8.037398556496138,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
220, Network,8.035663890051833,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221, Into the Wild,8.033996280292873,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
222, The Wizard of Oz,8.032473671418517,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
223, Before Sunset,8.031306835210634,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
224, Groundhog Day,8.029008711075072,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
225, The Exorcist,8.027477564133447,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
226, The Best Years of Our Lives,8.026242278949624,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
227, The Incredibles,8.025202273293484,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
228, La battaglia di Algeri,8.024150526130063,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
229, To Be or Not to Be,8.023858904678931,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230, Hachi: A Dog's Tale,8.02212932287221,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
231, Pirates of the Caribbean: The Curse of the Black Pearl,8.021559330743992,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
232, The Grapes of Wrath,8.02124336486601,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
233, La haine,8.021140540335066,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
234, Amores perros,8.02108013647538,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
235, Everything Everywhere All at Once,8.020956657589004,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
236, Jai Bhim,8.020932304763548,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
237, Rebecca,8.020868108830234,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
238, Babam ve Oglum,8.020800489681958,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
239, Cool Hand Luke,8.019650731597078,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
240, Les quatre cents coups,8.015760773956245,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
241, Ah-ga-ssi,8.01375306574609,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
242, The Sound of Music,8.012860648982558,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
243, It Happened One Night,8.012813195923142,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
244, Persona,8.012708126932196,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
245, Life of Brian,8.011829402241537,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
246, Dersu Uzala,8.00820273348432,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
247, Aladdin,8.005179404232738,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
248, The Help,8.004887918035053,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
249, The Iron Giant,8.004609739553098,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
250, Gandhi,8.00436320102263,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
